A,B
0.38,83.33333333
0.38,85
0.38,53.33333333
0.5,90
0.5,90
0.5,75
0.63,96
0.63,96.75
0.63,85
0.63,65
0.75,95
0.75,93.33333333
0.75,80
0.75,100
0.75,90
0.75,94
0.94,99.33333333
0.94,100
0.94,95
0.94,88.66666667
0.94,100
1,99
1,96
1,80
1,100
1,93
1,96.66666667
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1.25,99.66666667
1.25,98.33333333
1.25,85
1.25,100
1.25,93.33333333
1.25,98
1.25,99
1.25,100
1.25,92.66666667
1.25,93.66666667
1.25,100
1.25,100
1.25,100
1.25,100
1.25,100
1.25,100
1.25,100
1.25,100
1.25,100
1.25,100
1.25,100
1.25,100
1.25,100
1.25,99.33333333
1.25,81.25
1.56,100
1.56,99.5
1.56,95.66666667
1.56,95.66666667
1.56,100
1.88,99
1.88,90
1.88,99.33333333
1.88,99.66666667
1.88,99.33333333
1.88,100
1.88,95.33333333
1.88,98.33333333
1.88,100
1.88,100
1.88,100
1.88,95
1.88,100
1.88,100
1.88,100
1.88,92.33333333
1.88,96.66666667
1.88,100
2.5,100
2.5,96
2.5,100
2.5,100
2.5,100
2.5,100
2.5,93.33333333
2.5,99.66666667
2.5,100
2.5,100
2.5,100
2.5,100
2.5,100
2.5,100
3.75,99
3.75,100
3.75,100
3.75,100
3.75,99.66666667
3.75,100
3.75,99.66666667
3.75,100
3.75,100
0.75,90
1,96.66666667
1.25,100
1.5,100
1.5,96.66666667
1.5,92.5
0.42,100
0.42,55
0.83,100
0.83,92.5
1.25,100
1.25,100
0.21,80
0.42,100
0.83,95.33333333
0.83,63.33333333
0.83,100
0.83,91.66666667
0.83,100
0.83,80
0.83,91.5
1,5
1,0
1,20
1.67,93.33333333
1.67,82.33333333
1.67,100
1.67,100
1.67,90
1.67,100
2,20
2,55
2,55
2.5,100
2.5,98.33333333
2.5,100
2.5,99.33333333
2.5,96
2.5,100
4,40
4,87.5
4,100
